reviewText,overall
"excellent good enjoyable kindle story with positive characters",5
"good excellent story and enjoyable reading experience",5
"positive excellent book with good plot",5
"good enjoyable novel with excellent ending",4
"excellent story good pace and positive message",5
"good kindle book with enjoyable chapters",4
"excellent positive reading and good characters",5
"enjoyable good story with excellent writing",5
"positive good book and enjoyable style",4
"excellent enjoyable story and good value",4
"good excellent plot with positive ending",5
"enjoyable kindle story with good emotion",5
"positive excellent novel and good dialogue",4
"good story excellent rhythm and enjoyable tone",4
"excellent good review because story was positive",5
"enjoyable good chapters and excellent conclusion",4
"good positive dialogue with enjoyable development",5
"excellent good reading experience overall",4
"positive creative story with excellent emotion",5
"good enjoyable simple story with positive result",4
"bad boring terrible kindle story with negative characters",1
"bad terrible story and boring reading experience",1
"negative terrible book with bad plot",1
"bad boring novel with terrible ending",2
"terrible story bad pace and negative message",1
"bad kindle book with boring chapters",2
"terrible negative reading and bad characters",1
"boring bad story with terrible writing",1
"negative bad book and boring style",2
"terrible boring story and bad value",1
"bad terrible plot with negative ending",1
"boring kindle story with bad emotion",2
"negative terrible novel and bad dialogue",1
"bad story terrible rhythm and boring tone",2
"terrible bad review because story was negative",1
"boring bad chapters and terrible conclusion",2
"bad negative dialogue with boring development",1
"terrible bad reading experience overall",1
"negative generic story with terrible emotion",2
"bad boring simple story with negative result",1
